Title,Authors,Description,Category,Publish Date (Year)
Making Toast: A Family Story,"By Rosenblatt, Roger","“A painfully beautiful memoir….Written with such restraint as to be both heartbreaking and instructive.” —E. L. Doctorow A revered, many times honored (George Polk, Peabody, and Emmy Award winner, to name but a few) journalist, novelist, and playwright, Roger Rosenblatt shares the unforgettable story of the tragedy that changed his life and his family. A book that grew out of his popular December 2008 essay in The New Yorker, Making Toast is a moving account of unexpected loss and recovery in the powerful tradition of About Alice and The Year of Magical Thinking. Writer Ann Beattie offers high praise to the acclaimed author of Lapham Rising and Beet for a memoir that is, “written so forthrightly, but so delicately, that you feel you’re a part of this family.”"," Family & Relationships , Death, Grief, Bereavement",2011
"Jake Drake, Class Clown","By Clements, Andrew, Harvey, Amanda (ILT), and Avendano, Dolores (ILT)","MEET JAKE DRAKE, CLASS CLOWN  Knock, knock. Who's there? Jake. Jake who? Jake Drake, class clown.   Miss Bruce is the new student teacher in Jake's second-grade class, and she never smiles. Never. But when Jake cracks up the class during a spelling bee, he sees the tiniest hint of a smile at the corner of her mouth. Suddenly, Jake has a new mission in life: to be so funny that even Miss Bruce will laugh!  But then things get out of hand, and Jake finds himself in big trouble. Has Jake discovered -- too late -- that not everybody loves a clown?  MEET JAKE DRAKE, CLASS CLOWN  Knock, knock. Who's there? Jake. Jake who? Jake Drake, class clown.   Miss Bruce is the new student teacher in Jake's second-grade class, and she never smiles. Never. But when Jake cracks up the class during a spelling bee, he sees the tiniest hint of a smile at the corner of her mouth. Suddenly, Jake has a new mission in life: to be so funny that even Miss Bruce will laugh!  But then things get out of hand, and Jake finds himself in big trouble. Has Jake discovered -- too late -- that not everybody loves a clown?"," Juvenile Fiction , Readers , Chapter Books",2002
Design Essentials: Professional Studio Techniques,"By Cohen, Luanne Seymour","New edition of a manual that shows how to produce traditional graphic and photographic effects using Adobe software for Macintosh and Windows (Photoshop 5.0, Illustrator 8.0, and ImageReady). Cohen (former creative director at Adobe Systems) organizes the information around two-page color spreads that focus on particular techniques and combine simple instructions with pictures of the steps involved. In sections on drawing, painting, patterns and textures, text and special effects, and web techniques, she discusses aspects of classic design such as perspective grids, neon graphics, Illustrator pattern tiles in Photoshop, rainbow scratchboard type, posterized photographs, and animation along a path.  Distributed by Peachpit. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Computers , Programming , Games",1999
The First Strawberries (Picture Puffin Books),"By Bruchac, Joseph and Vojtech, Anna (ILT)","From an award-winning Native American storyteller comes this captivating re-telling of a Cherokee legend, which explains how strawberries came to be. Long ago, the first man and woman quarrelled. The woman left in anger, but the Sun sent tempting berries to Earth to slow the wife's retreat. Luminous paintings perfectly complement this simple, lyrical text. ""Complete harmony of text and pictures: altogether lovely.""-- Kirkus Reviews, pointer review"," Juvenile Fiction , People & Places , United States , Native American",1998
A Brief Chapter in My Impossible Life,"By Reinhardt, Dana","You can tell what really makes Simone different just by looking at her: she doesn't resemble anyone in her family. She's adopted. She's always known it, but she's never wanted to know anything about where she came from. She's happy with her family just as it is, thank you.Then one day, Rivka calls, and Simone learns who her mother was—a 16-year-old, just like Simone. Who is Rivka? What does she want? Why is she calling now, after all these years? The answers lead Simone to deeper feelings of anguish and love than she has ever known and prompt her to question everything she has taken for granted about faith, the afterlife, and what it means to be a daughter."," Young Adult Fiction , Family , Parents",2007
The Healing Power of Herbs: The Enlightened Person's Guide to the Wonders of Medicinal Plants,"By Murray, Michael T.","Discover the Natural Healing Wonders of Medicinal PlantsEnlightened consumers of health products want more than just pills that block out symptoms. Some of the most powerful preventatives for ailments are not located in prescription drugs but in common herbs found in your kitchen or your local health food store. In this up-to-date and carefully researched book on botanical medicine, Dr. Michael T. Murray brings you the latest scientific findings about the power and efficacy of medicinal herbs. Dr. Murray addresses such topics as: ·The magic of common food herbs and spices—onion, garlic, ginger, turmeric ·Hebal tonics—Chinese or Korean ginseng, Siberian ginseng, angelica ·Herbal sedatives—valerian, St. John's wort ·Herbs for asthma, hay fever, immune-system enhancement, bladder infections, diabetes, herpes, and menopause"," Health & Fitness , Healing",1995
Makers of Nineteenth Century Culture: 1800-1914,"By Wintle, Justin (EDT)","This volume provides a critical examination of the lives and works of the leading novelists, poets, dramatists, artists, philosophers, social thinkers, mathematicians and scientists of the period. The subjects are assessed in the light of their cultural importance, and each entry is deliberately interpretative, making this work both an essential reference tool and an engaging collection of essays. Figures covered include: Marx, Wagner,Darwin, Malthus, Balzac, Jane Austen, Nietzsche, Babbage, Edgar Allan Poe, Ruskin, Schleiermacher, Herbert Spencer, Harriet Martineau and Oscar Wilde."," Social Science , Anthropology , Cultural & Social",1983
Why Horses Do That: A Collection of Curious Equine Behavior,"By Dines, Lisa",Lighthearted explanations of horse behaviors are paired with original pencil drawings of horses in action.," Pets , Horses",2003
Cornelius (Dragonfly Books),"By Lionni, Leo and Lionni, Leo (ILT)","The beloved fable about being yourself from four-time Caldecott Honor-winner Leo Lionni.Unlike other crocodiles, Cornelius walks upright, sees things, and does tricks no other crocodile can. His friends aren't impressed. ""So what?"" they say when he demonstrates standing on his head or hanging from his tail. At first, Cornelius is disappointed, but things aren't always what they seem, and life on the riverbeach is about to undergo some big changes. Children will draw inspiration from this tale of a crocodile who marches to his own drummer."," Juvenile Fiction , Animals , Reptiles & Amphibians",1994
With Liberty and Justice for All: A Life Spent Protecting the Right to Choose,"By Michelman, Kate","Catalyzed by a pre-Roe v. Wade abortion, which required the consent of the husband who left her and the approval of a hospital panel made up entirely of men, Kate Michelman - seasoned lobbyist, skilled political strategist, and inspiration to millions of women across the country - has since devoted her life to protecting the rights of women and children. As president of NARAL Pro-Choice America from 1985 to 2004, Michelman catapulted the organization to prominence as the nation's premier reproductive rights group, moving the question ""Who decides?"" to the mainstream, transforming the political debate, and defining a woman's freedom to choose as a fundamental American liberty.Now, in a book that is at once personally compelling and urgently relevant, Michelman offers a wake-up call to American women to defend their freedom in what is undoubtedly its hour of greatest danger: With the appointment of just one or two Supreme Court justices hostile to Roe v. Wade and the right to choose, Roe's protections may very well be lost, forcing women to live at the whim of politicians and affording them fewer reproductive rights than their mothers had thirty years ago.Politically impassioned, thought-provoking, and timely, With Liberty and Justice for All is not just a book about choice, but a book about freedom. It is a book about bringing children into a world under the best possible conditions, and about a woman's right to assume her equal place in American society."," Political Science , Political Process , Political Advocacy",2005
"From Dead to Worse (Sookie Stackhouse/True Blood, Book 8)","By Harris, Charlaine","Psychic cocktail waitress Sookie Stackhouse finds herself in the middle of big trouble of the supernatural kind in this novel in the #1 New York Times bestselling series.After the natural disaster of Hurricane Katrina, and the manmade horror of the explosion at the vampire summit, Sookie Stackhouse is safe but dazed, yearning for things to get back to normal. But her boyfriend Quinn is among the missing. And things are changing, whether the Weres and vamps in her corner of Louisiana like it or not. In the ensuing battles, Sookie faces danger, death...and once more, betrayal by someone she loves. And when the fur has finished flying and the cold blood ceases flowing, her world will be forever altered..."," Fiction , Fantasy , General",2010
"The Music Lover's Guide to Europe: A Compendium of Festivals, Concerts, and Opera","By Gottesman, Roberta (EDT) and Sentman, Catherine (EDT)","Carefully researched, it provides excellent coverage of not only well known festivals but smaller events as well. Roman amphitheaters, castles and medieval churches are among the many locales mentioned. Each chapter begins with a map and a calendar which enables readers to determine what festivals are occurring at their time of travel. Government and local tourist offices listed in the appendices provide further valuable information."," Travel , Europe , General",1992
The Complete Color Directory,"By Westgate, Alice","An invaluable tool for every kind of home decorating decision, this directory packs comprehensive information about color into one handy, pocket-size format. Arranged in rainbow order with removable, perforated color swatches at the end of each color section, the book gives readers a range of hues to consider. For example, the red section shows pure red swatches alongside hues achieved by adding different percentages of other colors to red, so readers can select the right nuance of red for a particular decorating need. Each color section covers the same pertinent topics: color in daylight versus artificial light; color texture and its relation to hue; and how to organize given colors into auspicious combinations. Recipes for mixing paints, washes, and varnishes are also provided, and a card “viewer” enables readers to isolate single colors or look at pairs together."," House & Home , Remodeling & Renovation",1999
The Art of Asset Allocation : Asset Allocation Principles and Investment Strategies for any Market,"By Darst, David H.","An accessible guide to portfolio-enhancing asset management in bull or bear marketsAsset allocation is a crucial and continually popular topic among investors of all types. The Art of Asset Allocation is a practical, hands-on guide that shows finance professionals and individual investors how to achieve an asset balance designed to thrive in a wide range of financial market environments. David Darst, author of the highly acclaimed  The Complete Bond Book, provides a comprehensive framework for using asset allocation principles in bull, bear, or non-trending markets. This complete asset allocation guide contains:Differences between tactical and strategic asset allocation--and the advantages of each Effective tools for determining asset allocation strategies Asset class descriptions and historical risk and return statistics for all major asset classes Rebalancing guidelinesInvestor behavior analysis Practical financial worksheets, charts, and other illustrative tools An annotated guide to traditional and Internet-based information sources"," Business & Economics , Investments & Securities",2003
The United States of Wal-Mart,"By Dicker, John","An irreverent, hard-hitting examination of the world's largest-and most reviled-corporation, which reveals that while Wal-Mart's dominance may be providing consumers with cheap goods and plentiful jobs, it may also be breeding a culture of discontent.   It employs one of every 115 American workers. If it were a nation-state, it would be one of the world's top twenty economies. With yearly sales of nearly $260 billion and an average way of $8 an hour, Wal-Mart represents an unprecedented-and perhaps unstoppable-force in capitalism. And there have been few corporations that have evoked the same levels of reverence and ire.   The United States of Wal-Mart is a hard-hitting examination of how Sam Walton's empire has infiltrated not just the geography of America but also its consciousness. Peeling away layers of propaganda and politics, investigative journalist John Dicker reveals an American (and, increasingly, a global) story that has no clear-cut villains or heroes-one that could be the confused, complicated story of America itself.   Pitched battles between economic progress and quality of life, between the preservation of regional identity and national homogeneity, and between low prices and the dignity of the American worker are beginning to coalesce into an all-out war to define our modern era. And, Dicker argues, Wal-Mart is winning. Revealing that the company's business practices have been shaping American culture, including the nation's social, political, and industrial policy, The United States of Wal-Mart provides fresh insight into a controversy that isn't going away."," Business & Economics , Industries , Retailing",2005
Decorative Concrete: Expanded Edition: Recipes for Finishes Indoors and Out,"By Sunset Books (COR) and Bradley, Bridget Biscotti (EDT)","Once relegated to the backyard patio, today's concrete makes a tasteful statement, and Sunset's second edition of this popular manual provides all the practical know-how homeowners need to create the elegant and chic finishes that distinguish modern concrete applications.Readers looking for budget-friendly ways to transform rooms and outdoor areas will be thrilled with the contemporary design ideas and easy-to-follow instructions. From planning and sourcing materials to building and finishing techniques, Decorative Concrete provides detailed directions to help readers create floors, architectural elements, outdoor furniture, polished countertops, and more. This robust 2007 edition of Decorative Concrete adds 100 new photos plus nearly 50 pages, showcasing the myriad ways that concrete can be used to replace dated structural elements and add creative flair. Explicit how-to guidelines give homeowners the confidence to do-it-themselves or supervise an outside contractor with authority.Features include:* Updated, expanded 2nd edition of this popular Sunset home-improvement manual* Inspiring photo galleries (100 more images than previous edition) that illustrate how concrete can be used to infuse style inside and out* Design ideas and instructions that address concrete solutions for fireplace surrounds, tabletops, sinks, counters, floors, stepping-stones, pathways, garden planters, garden art, and more* Special emphasis on decorative finishing techniques, including surface designs, paint treatments, texturing with mosaics and insets, plus carving, sculpting, and polishing* Step-by-step how-to photos and directions for more than 16 concrete projects"," House & Home , Do-It-Yourself , Masonry",2007
Html 4 for Dummies,"By Tittel, Ed and James, Steve","An engaging guide through the entire Web authoring process from design through maintenance. The authors begin with tips on building better-looking Web pages, then cover HTML basics and advanced topics such as tables, complex pages, forms for feedback, maps, navigation aids, and going live. They conclude with top-ten lists: ten HTML do's and don'ts, ten ways to kill Web bugs dead, and ten elements of HTML style. The CD-ROM contains trial versions of Visual Page and Net Objects Fusion 2.0. Annotation c. by Book News, Inc., Portland, Or."," Computers , Desktop Applications , Desktop Publishing",1998
A Hog on Ice (Harper Colophon Books),"By Funk, Charles Earle",Dr. Funk has taken hundreds of picturesque sayings that we use without thinking in our daily speech and has traced them back through the years to find the original allusions.," Language Arts & Disciplines , Reference",1985
Indoor Gardens: Fresh ideas for growing  beautiful plants indoors (Better Homes & Gardens),"By Lewis, Eleanore","Combines gorgeous photographs with how-to instructions for growing and maintaining indoor plants by discussing various gardening styles and providing projects, plant recommendations, tips, and more. Original. 50,000 first printing."," Gardening , House Plants & Indoor",2001
"Political Babble: The 1,000 Dumbest Things Ever Said by Politicians","By Olive, David","Following the success of Business Babble, the award-winning journalist and the highly regarded illustrator have again collaborated to bring you a collection of the 1,000 most silly, stupid, arrogant, offensive, racist and just plain dumb remarks politicians have ever placed on public record. Subjects covered range from war, peace and economics to ``Bushisms'' and ``Quayludes.''"," Social Science , Media Studies",1992
"From Sea to Shining Sea for Children: Discovering God's Plan for America in Her First Half-Century of Independence, 1787-1837","By Marshall, Peter, Manuel, David, and Fishel, Anna Wilson",Reexamines the history of the United States of America," Juvenile Fiction , Historical , United States , Colonial & Revolutionary Periods",1993
"Night-Night, Little Pookie","By Boynton, Sandra","It's evening, and mom patiently eases Pookie toward bed. Pookie cooperates (mostly)—though with that particular Pookie flair. And imagine who gets the last word.Told in Boynton’s signature rhyme and illustrations, this humorous and gentle story will delight toddlers and those that love them."," Juvenile Fiction , Bedtime & Dreams",2009
Born Free: A Lioness of Two Worlds,"By Adamson, Joy","There have been many accounts of the return to the wild of tame animals, but since its original publication in 1960, when the New York Times hailed it as a ""fascinating and remarkable book,"" Born Free has stood alone in its power to move us.Joy Adamson's story of a lion cub in transition between the captivity in which she is raised and the fearsome wild to which she is returned captures the abilities of both humans and animals to cross the seemingly unbridgeable gap between their radically different worlds. Especially now, at a time when the sanctity of the wild and its inhabitants is increasingly threatened by human development and natural disaster, Adamson's remarkable tale is an idyll, and a model, to return to again and again.Illustrated with the same beautiful, evocative photographs that first enchanted the world forty years ago and updated with a new introduction by George Page, former host and executive editor of the PBS series Nature and author of Inside the Animal Mind, this anniversary edition introduces to a new generation one of the most heartwarming associations between man and animal."," Nature , Animals , Wildlife",2000
Plains Indians Coloring Book (Dover History Coloring Book),"By Rickman, David","Forty carefully researched, accurately rendered line drawings — ready to be colored — depict the traditional costume and culture of the Plains Indians, including the Apache, Pawnee, Crow, Blackfoot, Cree, and many others as they actually existed from the mid-17th through the early 20th centuries. Full captions. Introduction. 4 illustrations in color on covers."," Juvenile Nonfiction , People & Places , United States , Native American",1983
Living Faith Participant's Guide: A Guide to the Christian Life,"By Schwarz, John E.","How were the books of the Bible chosen? What was the Roman world like during Jesus' life and ministry? And how are Christians to live out their faith in today's world? Living Faith offers thoughtful and engaging answers to questions about the faith, enabling believers of all backgrounds to understand Christianity more fully. John Schwarz compares and contrasts Christianity with other world religions, proposes helpful disciplines for a believer's spiritual growth, and provides a clear and balanced look at such controversial topics as free will and end-times theology. Informative, insightful, and practical, Living Faith is an ideal resource for group or personal study, and also serves as the participant's guide in the curriculum series Living Faith: Exploring the Essentials of Christianity by Tom Wright."," Religion , Faith",2005
Memory Makers,"By Fields, Doug and Robbins, Duffy","'Memories,' write Doug Fields and Duffy Robbins, 'are the milestones by which we mark our journey with God.' And the 50 ideas in Memory Makers do just that -- give you the wherewithal to create in students vivid memories. The authors have recalled the best (and worst) that serendipity has sent them during their many years in youth ministry, then translated those occasions into a rich portfolio of memories you can create for your own group -- moments that seem almost unplanned, moments that are out of the ordinary, that are particularly intense or adventurous or ceremonial. Memories created out of -- phone calls and letters, vidcam events and audio tapes, road trips and service projects, and meetings and overnighters. Memory Makers will kick start the kind of personal and group settings that create vivid memories. Whether you work with children, teenagers, or adults -- whether you're a leader or a parent -- you'll find years' worth of memory-making events and moments waiting here."," Religion , Christian Ministry , Counseling & Recovery",1996
"Speedsolving the Cube: Easy-to-Follow, Step-by-Step Instructions for Many Popular 3-D Puzzles","By Harris, Dan","Super Strategies for Speedcubers!For many of us, simply being able to solve Rubik’s Cube is not rewarding enough. Solving it as fast as possible is the exciting part! They call it “speedcubing”—a mind-bending blur of quick twists and turns that solves Rubik’s Cube in times that have been clocked at less than 20 seconds.  Today, thanks to the 2003 revival of the Rubik’s World Championships, speedcubing is spreading like wildfire. Here, complete with detailed illustrations and basic as well as advanced solving techniques, is the ultimate speedcuber’s guide. It not only gives the solution to the familiar 3x3x3 cube (which has 43,252,003,274,489,856,000—that’s 43 quintillion—possible positions), but also the 2x2x2, 4x4x4, and staggeringly difficult 5x5x5 puzzles. With millions of cubes out there and countless would-be champions looking for tips to improve their times, this is the definitive manual for this unique sport."," Games & Activities , Puzzles",2008
Cary Grant,"By McCann, Graham","More than a biography, this is a savvy portrait of how Archie Leach, born to a poor working-class family in Bristol, England became Cary Grant, one of Hollywood's most irresistible and admired celebrities of all time."," Performing Arts , Film , General",1998
Nerve's Guide to Sex Etiquette for Ladies and Gentlemen,"By Sharkey, Lorelei and Taylor, Emma","Nerve's Guide to Sex Etiquette for Ladies and Gentlemen is committed to saving readers from a lifetime of sexual faux-pas. From one-night stands to dirty talk and much more this outrageously helpful handbook includes hints such as:  ? When booty-calling an ex, the dumpee must be the initiator the first two times. After that, it's considered polite for the dumper to initiate so the dumpee doesn't feel doubly pathetic.  ? On a one-night stand, you may make a stealth exit from your partner's bed, but it is gauche to request that your partner vacate before daylight.  ? A civilized lady or gentleman always has a guest toothbrush handy, still in its packaging, just in case a guest requests one. However, only vulgarians keep an entire drawer of them for guests to ""pick their favorite color.""  Mixing witty ""pearls of wisdom,"" hilarious sidebars, and essential advice, Em and Lo deliver the practical handbook of bedside manners for singles and devoted couples in the new millennium."," Self-help , Sexual Instruction",2004
"You Know You Love Me: A Gossip Girl Novel (Gossip Girl, 2)","By Von Ziegesar, Cecily","The wickedly funny second book in the #1 New York Times bestselling  series that inspired the original hit CW show and the new series coming  to HBO Max's Spring 2020 launch season (alongside hit series such as Pretty Little Liars and Friends).It's brunette vixen Blair Waldorf's seventeenth birthday, and she knows exactly what she wants: Nate, her studly, troubled boyfriend of three years. But Blair's been too busy filling out Ivy League college applications to notice that Nate has found himself another playmate..."," Young Adult Fiction , School & Education , Boarding School & Prep School",2002
Chocolate for a Woman's Spirit: 77 Stories of Inspiration to Life Your Heart and Sooth Your Soul,"By Allenbaugh, Kay (EDT)","Take A Chocolate Break!  Chocolate -- sweet, delectable, and rich -- is a feast for our senses and a treat for our souls. Now, indulge yourself in 77 brand-new ""chocolate stories,"" from the creator of the national bestsellers Chocolate for a Woman's Soul and Chocolate for a Woman's Heart. Kay Allenbaugh has gathered together a luscious mix of real-life stories by and for women that will inspire, delight, and empower you. Savor the everyday experiences and momentous adventures of women who tap into their intuition, listen to life's wake-up calls, overcome old fears, and discover the courage to start over. Like you, they juggle the roles of worker, wife, sister, mother, and friend. And like you, they face life's challenges and rejoice in its blessings as only women can -- with a sense of wonder, a sense of humor, and a sense of spirit!"," Self-help , General",1999
Partnerships for Profit: Structuring and Managing Strategic Alliances,"By Lewis, Jordan D.","Faced with new levels of savage competition, tens of thousands of companies, including fierce competitors, are sharing their resources and expertise to develop new products, achieve larger scale economies, and gain access to new technology and new markets. These strategic alliances are justifiably hailed by many as the competitive weapon of the 1990s. But because they are blurring and reshaping the very structure and boundaries of corporations in unprecedented ways, the process of designing and managing these alliances confronts managers with the awesome task of inventing theory and practice on a daily basis. Up to now, they have had few places to turn for guidance.  In Partnerships for Profit, Jordan D. Lewis, an internationally recognized expert on strategic alliances, now provides the first full-scale analysis of this surging global phenomenon. During five years of intensive field research, including 500 interview hours with more than 100 executives from some 40 American, European, and Asian firms, Lewis has observed firsthand some of the most successful strategic alliances and alliance practitioners in the world. Drawing on the experiences of IBM, Fuji Xerox, Ford, Dow Chemical, Intel, Komatsu, Corning, Sony, Apple Computer, Ciba-Geigy, and many other companies, Lewis brilliantly describes in detail how managers at each of these pioneering firms structure and manage various kinds of alliances -- from informal cooperation, minority investments, and risk-sharing contracts to full-fledged joint ventures and strategic networks. Through actual examples, Lewis shows for the first time how alliance partners build trust, develop mutual understandings, and make joint decisions, and at the same time protect core interests and critical technology -- a major concern of direct competitors. Lewis explains how to avoid the ""Trojan horse"" blunder many American firms made when they gave their Asian manufacturing partners key information about tailoring their products to local preferences. Particularly important is an entire chapter devoted to working with other cultures. The employment of strategic alliances, Lewis concludes, requires nothing short of a revolution in the conduct of business. Unlike arm's length relations, in which initial commitments govern, alliances involve shared risks and ongoing mutual adjustments. Lewis shows how alliances inevitably shape the business strategy of an entire firm, since the decisions to target certain markets and commit resources involve groups of firms acting in concert. Finally, Lewis shows how the use of alliances will affect internal management policies and practices, especially methods to bring about an outward focus and overcome the ""not invented here"" syndrome. We have entered the age of strategic alliances."," Business & Economics , Advertising & Promotion",1990
"Get Wet, Get Fit: The Complete Guide to Getting a Swimmer's Body","By Jendrick, Nathan and Jendrick, Megan Quann","Two-time Olympic gold medalist Megan Quann Jendrick and her husband and personal trainer offer a complete training regimen -- including a diet program -- that will enable everyone to achieve the body of their dreams through swimming.   Elite-level swimmers share a common trait -- their toned, shapely bodies. Get Wet, Get Fit shows how anyone, regardless of age or size, can use swimming to get into the best condition of their lives. The Jendricks offer detailed instructions along with underwater photographs that illustrate how to achieve proper form and technique for the four basic strokes -- backstroke, breaststroke, butterfly, and freestyle.   But unlike the average training manual or how-to book, Get Wet, Get Fit also provides:   Training regimens for everyone from beginners to Olympic-level competitors, including dynamic drills for strengthening, fat loss, and endurance Physique-building workout routines (with and without weights) for dry land A complete diet plan, including tempting recipes and menus (swimmers need carbohydrates, so this is a diet to love) Tips from world-class swimmers   Low impact and gentle on the joints, swimming is one of the most enjoyable and exhilarating ways to exercise, but Get Wet, Get Fit shows how it can also be one of the most effective ways to get your body into top shape."," Sports & Recreation , Swimming & Diving",2008
A Child's Christmas at St. Nicholas Circle,"By Kinkade, Thomas (ILT) and McKelvey, Douglas Kaine","A Child's Christmas at St. Nicholas Circle is a fictional story based on one of the Thomas Kinkade's most popular holiday painting, St. Nicholas Circle.  Young children and families will delight as the painting comes to life and they are immersed in the colors and lights of the holiday season.  They story concludes at the church on the circle on Christmas Eve with a warm, heart tugging ending.  This book will quickly become a holiday classic and a family tradition."," Juvenile Fiction , Holidays & Celebrations , General",1999
Dead Famous: A Mallory Novel,"By O'Connell, Carol","Never has Kathy Mallory had a case quite like the one she has now.Night had fallen, and the woman looked down at the crumpled letter, as if, in absolute darkness, she could read the postscript: Only a monster can play this game.In Chicago, an FBI agent is killed in a psychiatrist's waiting room. In New York, the jurors from a conventional trial are murdered one by one. The only connections between the two: a flamboyant shock-jock, whose on-air comments seem to be taking him dangerously close to the edge, and a woman, her body misshapen since childhood, whose job it is to clean up crime scenes - and maybe create them as well. This is a federal case, and Mallory's been told the FBI wants no part of her. But she knows something nobody else does - and besides, when has she ever cared what anybody else wanted?"," Fiction , Mystery & Detective , General",2003
Netlaw: Your Rights in the Online World,"By Rose, Lance","Using case studies, Lance Rose covers the most widely debated topics affecting systems users and operators, including commercial relationships, ownership of information, searches and seizures, and sexually explicit materials.In easy-to-follow, plain English discussions, this one-of-a-kind legal guide covers that you need to know to venture online confident of your rights and informed of the risks."," Computers , Online Services , General",1995
Meditations: On the Monk Who Dwells in Daily Life,"By Moore, Thomas","Sometimes in their chanting monks will land upon a note and sing it in florid fashion, one syllable of text for fifty notes of chant. Melisma, they call it.Living a melismatic life in imitation of plainchant, we may stop on an experience, a place, a person, or a memory and rhapsodize in imagination. Some like to meditate or contemplate melismatically, while others prefer to draw, build, paint, or dance whatever their eye has fallen upon.Living one point after another, is one form of experience, and it can be emphatically productive. But stopping for melisma gives the soul its reason for being."," Religion , General",1994
Playoff Dreams (Allstar Sportstory),"By Bowen, Fred and Barrow, Ann (ILT)","Brendan, the best player on a losing baseball team, learns a lesson from a Chicago Cubs all-star about the true value of the game"," Juvenile Fiction , Sports & Recreation , Baseball & Softball",1997
The Scoop (The Godmothers),"By Michaels, Fern","Newly single Teresa “Toots” Amelia Loudenberry has crammed a great deal of living—not to mention eight much-loved husbands—into her varied and rewarding life, and fate has just handed her the perfect opportunity to taste life again, in the first book in a new series by the best-selling author. 150,000 first printing. Original."," Fiction , Women",2009
Payne at Pinehurst,"By Chastain, Bill and Doe, Jane (FRW)","""A fresh and concise look at Payne Stewart's victory at the 1999 U.S. Open.""---Golf DigestIt has been called the greatest U.S. Open in the Open's over one hundred-year history.Veteran sports journalist, Bill Chastain, crafts the dramatic story of Payne Stewart's 1999 U.S. Open victory by combining extensive research with interviews of those who made it unique. Payne at Pinehurst shows how Stewart dealt with his stunning U.S. Open defeat in 1998 and planned victory for the championship that meant so much to him.            Stewart's conquest of Pinehurst No. 2, while fending off Phil Mickelson, Tiger Woods, David Duval, and Vijay Singh in an epic battle where every swing held significance, is the stuff of which golf legends are made. From compelling action by the best golfers in the world to the tournament's dramatic conclusion, Payne at Pinehurst shows readers why the 1999 U.S. Open is regarded as the best U.S. Open ever played.""Exciting golf history combined with the poignant personal story of Stewart's life and death.""---Booklist""You don't have to be from North Carolina to understand what happened at the 1999 U.S. Open, and how it felt; it was an Open brushed by an angel's wing, an Open that in retrospect seems almost fictional.... That Sunday in Pinehurst, when it all happened there in the mist, is one of the most memorable days in the history of the U.S. Open. Everything about it is more profound now, and yet somehow unreal.""---Ron Green Sr., PGATOUR.com columnist and author of Shouting at Amen Corner""While the 1999 U.S. Open may not have been the greatest Open ever, through Chastain's effort it now makes the short list.""---bookreporter.com""Chastain's book is a thoughtful look at one of America's favorite golfers and at a tournament that raised his status to near legend.""---News & Record (Greensboro, North Carolina)"," Sports & Recreation , Golf",2005
"Moo Moo, Brown Cow","By Wood, Jakki and Bonner, Rog (ILT)","In this playful picture book, young readers follow a curious kitten into a barnyard, where they are introduced to a host of baby animals and their mothers. As they move from cows to pigs to dogs to geese, children learn about colors and numbers."," Juvenile Fiction , Concepts , Counting & Numbers",1996
Real Hoops (Fred Bowen Sports Story Series),"By Bowen, Fred","Can street ball and technical play mix it up on the court and score wins for the team?Ben and Logan are looking forward to playing basketball for Roosevelt High School. Ben will play shooting guard, and Logan will be the team’s center. But they still need a point guard. The two boys discover Antonio “Hud” Hudson at the local rec center, where fast-paced pickup games are the rule. Hud is just what the team needs. Even better, he is coming to Roosevelt! But Roosevelt’s coach has one rule for the boys: no pickup basketball. So when Ben finds Hud playing pickup, he has to make a decision. As captain, can Ben help Hud balance his passion for the game and his dedication to the team?Author Fred Bowen continues his Sports Story series with full court, play-by-play action that’s sure to keep readers on the edge of their seats! An afterword proves the real story of pickup basketball and Holcombe Rucker Park, one of the most famous basketball playgrounds."," Juvenile Fiction , Social Themes , Values & Virtues",2011
The Secret Birthday Message,"By Carle, Eric","It is Tim's birthday. Instead of a package, Tim gets a mysterious letter -- written in code! Tim -- and the reader -- are off, following the clues. And at the end of the treasure hunt is a wonderful birthday surprise!"," Juvenile Fiction , Concepts , Size & Shape",1986
The Bourgeois Experience: Victoria to Freud Volume 1: Education of the Senses,"By Gay, Peter","With this book, Peter Gay begins a project of enormous scope and imagination: a multi-volume study of the European and American middle classes from the 1820s to the outbreak of World War I. he Bourgeois Experience, which will eventually comprise at least five volumes, explores the much-neglected but all-important role that human drives and emotions played in the shaping of Victorian culture.    In Education of the Senses Gay re-examines the sexual behavior and attitudes of the Victorians, overturning many ttpersistent myths about the era and challenging, in particular, the notion that bourgeois women could not enjoy sexuality. Immense in scope yet finely detailed, this book abounds in fascinating glimpses of individual lives.    A provocative and absorbing study, Education of the Senses marks an auspicious beginning to a project that promises to change the way we view the past."," History , United States , 19th Century",1985
Improve Your Soccer Skills (Usborne Superskills),"By Cook, Janet, Peach, Susan (EDT), and Woods, Paula","Text, illustrations, and diagrams demonstrate training techniques for soccer, from basic skills for beginners to practice drills for novice players."," Young Adult Nonfiction , Sports & Recreation , Soccer",1987
"Triathlons for Women: Training Plans, Equipment, Nutrition","By Edwards, Sally and Smyers, Karen (FRW)","Aimed at everyone from beginner to expert, Triathlons for Women includes specific training plans, offers a history of women in triathlons, and answers common questions. The book also explores overtraining, mental preparation, and time management. This revised edition includes a new chapter on transition training and equipment."," Sports & Recreation , Triathlon",2002
